Date,Revenue
1/31/2009,104
4/30/2009,82
7/31/2009,98
10/31/2009,113
1/31/2010,161
4/30/2010,138
7/31/2010,152
10/31/2010,176
1/31/2011,245
4/30/2011,187
7/31/2011,212
10/31/2011,230
1/31/2012,372
4/30/2012,286
7/31/2012,283
10/31/2012,317
1/31/2013,485
4/30/2013,346
7/31/2013,345
10/31/2013,380
1/31/2014,521
4/30/2014,385
7/31/2014,391
10/31/2014,419
1/31/2015,602
4/30/2015,424
7/31/2015,453
10/31/2015,480
1/31/2016,704
4/30/2016,496
7/31/2016,515
10/31/2016,544
1/31/2017,790
4/30/2017,520
7/31/2017,581
10/31/2017,619
1/31/2018,929
4/30/2018,650
7/31/2018,724
10/31/2018,748
1/31/2019,1167
4/30/2019,782
7/31/2019,883
10/31/2019,916
1/31/2020,1397
4/30/2020,652
7/31/2020,903
10/31/2020,1117
1/31/2021,1730
4/30/2021,1226
7/31/2021,1451
10/31/2021,1450
1/31/2022,2129
4/30/2022,1613
7/31/2022,1868
10/31/2022,1857
1/31/2023,2772
4/30/2023,2001
7/31/2023,2209
10/31/2023,2204
1/31/2024,3205
